Rank,explorationPercentage,EnvironmentInstance.ertu_perc
1,70.8333333333,0.05
2,70.8333333333,0.05
3,70.8333333333,0.05
4,71.875,0.05
5,73.9583333333,0.05
6,75,0.05
7,75,0.05
8,76.0416666667,0.05
9,82.2916666667,0.05
10,90.625,0.05
11,86.4583333333,0.1
12,91.6666666667,0.1
13,94.7916666667,0.1
14,95.8333333333,0.1
15,95.8333333333,0.1
16,96.875,0.1
17,98.9583333333,0.1
18,98.9583333333,0.1
19,98.9583333333,0.1
20,98.9583333333,0.1
21,92.7083333333,0.15
22,93.75,0.15
23,93.75,0.15
24,96.875,0.15
25,96.875,0.15
26,96.875,0.15
27,97.9166666667,0.15
28,97.9166666667,0.15
29,100,0.15
30,100,0.15
31,89.5833333333,0.2
32,90.625,0.2
33,91.6666666667,0.2
34,92.7083333333,0.2
35,95.8333333333,0.2
36,96.875,0.2
37,97.9166666667,0.2
38,98.9583333333,0.2
39,98.9583333333,0.2
40,98.9583333333,0.2
41,86.4583333333,0.25
42,87.5,0.25
43,91.6666666667,0.25
44,93.75,0.25
45,93.75,0.25
46,95.8333333333,0.25
47,97.9166666667,0.25
48,97.9166666667,0.25
49,98.9583333333,0.25
50,100,0.25
51,81.25,0.3
52,91.6666666667,0.3
53,91.6666666667,0.3
54,93.75,0.3
55,94.7916666667,0.3
56,95.8333333333,0.3
57,95.8333333333,0.3
58,97.9166666667,0.3
59,98.9583333333,0.3
60,98.9583333333,0.3
61,93.75,0.35
62,94.7916666667,0.35
63,94.7916666667,0.35
64,95.8333333333,0.35
65,95.8333333333,0.35
66,96.875,0.35
67,96.875,0.35
68,97.9166666667,0.35
69,98.9583333333,0.35
70,100,0.35
