time,step-size,{Environment}.EnvironmentInstance.eP,{Environment}.EnvironmentInstance.sTime,{ShowOutput}.ShowOutputInstance.dummy
0.0,0.0,0.0,0.0,0
1.0,1.0,8.333333333333332,20.0,0
2.0,1.0,11.458333333333332,40.0,0
3.0,1.0,15.625,60.0,0
4.0,1.0,19.791666666666664,80.0,0
5.0,1.0,22.916666666666664,100.0,0
6.0,1.0,26.041666666666668,120.0,0
7.0,1.0,28.125,140.0,0
8.0,1.0,31.25,160.0,0
9.0,1.0,34.375,180.0,0
10.0,1.0,37.5,200.0,0
11.0,1.0,40.625,220.0,0
12.0,1.0,42.70833333333333,240.0,0
13.0,1.0,43.75,260.0,0
14.0,1.0,44.79166666666667,280.0,0
15.0,1.0,45.83333333333333,300.0,0
16.0,1.0,47.91666666666667,320.0,0
17.0,1.0,48.95833333333333,340.0,0
18.0,1.0,48.95833333333333,360.0,0
19.0,1.0,50.0,380.0,0
